111,19631207,1800,Eintracht Braunschweig,1. FC Nürnberg,2,0,0,0
112,19631221,1830,Hamburger SV,Borussia Dortmund,2,1,0,1
113,19631214,1315,1. FC Nürnberg,Hamburger SV,3,2,1,1
114,19631214,1315,Frankfurter SG Eintracht,Karlsruher SC,0,3,0,1
115,19631214,1315,Werder Bremen,TSV 1860 München,4,1,1,1
116,19631214,1315,1. FC Kaiserslautern,Meidericher SV,1,1,0,0
117,19631214,1530,FC Schalke 04,1. FC Saarbrücken,4,1,0,0
118,19631214,1545,VfB Stuttgart,1. FC Köln,0,1,0,0
119,19631214,1600,Hertha BSC,Preußen Münster,2,0,1,0
120,19631214,1900,Borussia Dortmund,Eintracht Braunschweig,3,0,1,0
121,19640111,1330,Borussia Dortmund,Werder Bremen,4,3,4,0
122,19640111,1330,1. FC Köln,1. FC Saarbrücken,1,3,1,3
123,19640111,1330,1. FC Kaiserslautern,Frankfurter SG Eintracht,1,1,1,1
124,19640111,1330,Hamburger SV,Preußen Münster,5,0,2,0
125,19640111,1330,Meidericher SV,Karlsruher SC,2,0,2,0
126,19640111,1330,1. FC Nürnberg,Hertha BSC,2,3,2,2
127,19640111,1600,Eintracht Braunschweig,TSV 1860 München,0,1,0,1
128,19640208,1430,VfB Stuttgart,FC Schalke 04,2,0,1,0
129,19640118,1330,TSV 1860 München,Borussia Dortmund,6,1,4,1
130,19640118,1330,Karlsruher SC,1. FC Köln,2,2,0,1
131,19640118,1330,FC Schalke 04,1. FC Kaiserslautern,4,0,2,0
132,19640118,1330,Hertha BSC,VfB Stuttgart,0,2,0,0
133,19640118,1330,Preußen Münster,Eintracht Braunschweig,0,2,0,0
134,19640118,1600,Werder Bremen,1. FC Nürnberg,2,1,1,1
135,19640208,1430,1. FC Saarbrücken,Hamburger SV,1,1,0,0
136,19640208,1430,Frankfurter SG Eintracht,Meidericher SV,2,2,1,1
137,19640125,1330,1. FC Köln,TSV 1860 München,2,2,1,1
138,19640125,1330,Hamburger SV,Karlsruher SC,1,1,0,1
139,19640125,1330,1. FC Nürnberg,Frankfurter SG Eintracht,1,0,1,0
140,19640125,1330,Borussia Dortmund,FC Schalke 04,3,0,0,0
141,19640125,1330,Meidericher SV,Preußen Münster,0,0,0,0
142,19640125,1400,VfB Stuttgart,Werder Bremen,2,0,1,0
143,19640125,1830,Eintracht Braunschweig,1. FC Saarbrücken,3,1,1,1
144,19640208,1430,1. FC Kaiserslautern,Hertha BSC,3,0,1,0
145,19640201,1430,FC Schalke 04,1. FC Köln,2,3,0,2
146,19640201,1430,Werder Bremen,1. FC Kaiserslautern,2,0,1,0
147,19640201,1430,Karlsruher SC,Eintracht Braunschweig,3,1,1,0
148,19640208,1430,Preußen Münster,1. FC Nürnberg,0,1,0,0
149,19640326,1915,TSV 1860 München,VfB Stuttgart,1,1,1,0
150,19640327,1530,Hertha BSC,Meidericher SV,5,2,3,1
